Age,Height,Shoe size,Weight,Gender,Hair length,MIddle and index finger,Middle and ring finger,Middle and little finger
20,170,40,64,женский,50,20,10,40
22,191,43,73,мужской,7,5,5,20
21,172,41,60,мужской,4,13,10,26
19,168,38,59,женский,20,12,13.5,35
23,159,36,57,женский,55,10,11,22
18,177,40,50,мужской,25,12,7,30
18,180,42,55,мужской,10,5,30,35
19,180,48,120,мужской,20,7,5,25
20,185,46,69,мужской,25,5,3,15
22,168,38,58,женский,45,15,10,40
20,158,35,47,женский,50,10,9,15
19,183,44,98,мужской,1,9,10,15
21,169,39,,женский,20,9,11,25
20,164,40,,женский,50,8,10,30
21,183,42,,мужской,30,11,6,30
20,166,40,48,женский,23,10,9,30
18,185,45,64,мужской,4,13,11,40
19,183,43,60,мужской,1.5,12,8,43
21,167,38,53,женский,50,30,15,38
21,164,38,59,женский,40,2,1,4
21,186,45,93,мужской,20,10,8,40
21,168,38,55,женский,23,6,6,18
22,158,38,56,женский,90,12,11,25
20,188,42,65,мужской,7,6,2,25
20,177,44,65,мужской,12,18,4,30
22,164,39,70,женский,20,7,6,20
18,163,36,60,женский,30,10,12,35
19,193,48,61,мужской,3,11,14,45
20,163,38,90,женский,20,7,10,30
19,168,38,,женский,35,5,10,25
19,181,42,70,мужской,3,10,80,35
22,170,39,65,женский,40,20,10,15
23,164,39,,женский,48,12,7,25
22,188,44,95,мужской,10,10,6,19
19,155,37,,женский,20,5,10,50
22,185,44,64,мужской,0.7,5,9,25
19,177,42,65,мужской,3,8,8,20
25,158,35,60,женский,60,5,10,25
20,162,37,53,женский,50,3,5,20
21,186,44,84,мужской,8,8,14,40
22,165,39,59,женский,45,7,9,43
20,161,37,75,женский,20,10,13,40
18,185,39,68,женский,45,10,15,35
18,170,39,48,женский,20,5,10,18
21,181,42,68,мужской,2,5,10,30
20,183,44,72,мужской,17,15,7,30
18,180,42,62,мужской,5,15,18,50
18,159,35,,женский,25,9,8,22
18,176,42,58,мужской,10,12,10,35
19,172,38,62,женский,55,11,8,40
22,178,42,70,мужской,20,10,8,30
18,175,41,75,женский,43,8,11,36
19,163,35,53,женский,55,6,5,15
19,156,37,48,женский,40,11,15,42
21,167,39,,женский,20,10,10,40
22,180,45,92,мужской,0.2,20,10,40
21,163,38,58,женский,40,11,7,30
19,169,41,76,мужской,27,10,8,24
23,169,40,65,женский,25,13,17,33
21,170,42,63,мужской,35,8,11,19
19,170,37,53,женский,70,10,15,40
18,182,43,75,мужской,7,15,4,29
19,187,44,66,мужской,3,7,6,22
35,180,40,78,женский,20,10,5,20
18,178,43,58,мужской,12,10,8,20
18,166,39,,женский,50,10,8,35
22,178,43,78,мужской,6,10,8,23
18,180,43,65,мужской,5,15,4,30
20,170,40,,женский,90,7,6,250
20,181,43,105,мужской,3.5,4,3,27
20,163,37,50,женский,60,15,13,25
20,175,41,85,женский,17,10,15,30
19,166,41,83,женский,40,12,12,40
19,187,44,100,мужской,5,7,11,26
18,168,39,55,женский,50,4,8,16
18,174,42,60,мужской,4,12,5,20
20,184,45,,мужской,20,5,3,8
21,174,41,,женский,50,10,14,40
18,170,40,64,мужской,5,6,4,12
24,170,39,62,женский,90,8,13,40
21,163,37,60,женский,100,3,6,18
55,160,37,3,женский,25,10,10,10
27,168,39,58,женский,50,10,10,45
19,184,43,81,мужской,3,12,10,25
19,172,41,56,мужской,15,5,8,25
18,168,40,,женский,70,12,10,37
19,167,38,58,женский,40,10,15,40
23,188,44,83,мужской,1.5,20,15,45
21,171,40,89,женский,40,11,13,34
19,178,39,75,женский,20,15,10,35
21,160,36,54,женский,50,20,20,40
21,178,39,55,женский,30,5,11,35
20,164,39,46,мужской,35,10,8,30
19,173,42,93,мужской,8,12,5,28
18,158,36,53,женский,40,1,1,2
20,165,38,,женский,70,9,7,15
19,163,34,56,женский,50,15,5,25
20,170,40,,женский,45,10,5,25
20,160,37,45,женский,50,0,0,0
31,165,38,53,женский,50,8,8,16
19,160,37,60,женский,30,11,9,39
22,168,38,52,женский,70,7,11,25
26,165,38,,женский,70,12,8,25
19,197,46,100,мужской,23,23,5,23
23,181,42,,мужской,1.5,6,5,22
23,187,44,98,мужской,15,10,5,15
20,170,42,70,мужской,4,9,12,27
21,176,43,95,мужской,2,17,10,31
21,164,37,65,женский,100,10,15,35
19,158,39,,женский,70,15,7,25
21,167,41,64,женский,60,12,15,45
19,165,37,60,женский,65,5,4,14
18,183,44,65,мужской,3,9,8,31
26,179,42,75,мужской,15,8,5,12
22,178,42,7,мужской,10,5,2,7
17,175,41,72,мужской,7,3,2,5
23,158,35,48,мужской,55,10,8,20
20,157,36,,женский,40,10,8,25
18,157,35,59,женский,30,11,15,35
19,166,38,49,женский,50,15,10,40
19,184,40,,мужской,20,10,14,30
22,170,38,,женский,80,7,15,40
19,175,41,53,мужской,10,10,2,15
20,167,37,55,женский,37,8,10,30
21,163,39,88,женский,56,3,5,12
19,187,43,92,мужской,4,7,12,32
17,168,39,71,женский,30,5,7,15
18,165,36,46,женский,60,20,10,40
19,182,43,72,мужской,5,8,8,20
26,167,37,59,женский,60,11,13,35
21,174,41,60,мужской,7,12,2,16
19,162,40,52,женский,15,12,11,30
